"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2024 General Election","42008","TOWN OF CLIFTON - MONROE COUNTY","7","7","0","0"
"2024 General Election","42010","TOWN OF GLENDALE - MONROE COUNTY","30","30","4","0"
"2024 General Election","42012","TOWN OF GRANT - MONROE COUNTY","12","12","0","0"
"2024 General Election","42014","TOWN OF GREENFIELD - MONROE COUNTY","21","18","2","0"
"2024 General Election","42016","TOWN OF JEFFERSON - MONROE COUNTY","19","15","0","0"
"2024 General Election","42018","TOWN OF LAFAYETTE - MONROE COUNTY","17","17","0","0"
"2024 General Election","42020","TOWN OF LA GRANGE - MONROE COUNTY","102","100","22","0"
"2024 General Election","42022","TOWN OF LEON - MONROE COUNTY","45","44","7","0"
"2024 General Election","42024","TOWN OF LINCOLN - MONROE COUNTY","30","24","0","0"
"2024 General Election","42026","TOWN OF LITTLE FALLS - MONROE COUNTY","44","41","6","0"
"2024 General Election","42028","TOWN OF NEW LYME - MONROE COUNTY","6","6","0","0"
"2024 General Election","42030","TOWN OF OAKDALE - MONROE COUNTY","20","18","0","0"
"2024 General Election","42032","TOWN OF PORTLAND - MONROE COUNTY","20","20","11","0"
"2024 General Election","42034","TOWN OF RIDGEVILLE - MONROE COUNTY","13","12","0","0"
"2024 General Election","42036","TOWN OF SCOTT - MONROE COUNTY","1","1","0","0"
"2024 General Election","42038","TOWN OF SHELDON - MONROE COUNTY","13","11","1","0"
"2024 General Election","42040","TOWN OF SPARTA - MONROE COUNTY","292","292","68","0"
"2024 General Election","42042","TOWN OF TOMAH - MONROE COUNTY","70","70","5","0"
"2024 General Election","42044","TOWN OF WELLINGTON - MONROE COUNTY","8","7","0","0"
"2024 General Election","42046","TOWN OF WELLS - MONROE COUNTY","35","33","10","0"
"2024 General Election","42048","TOWN OF WILTON - MONROE COUNTY","16","14","4","0"
"2024 General Election","42111","VILLAGE OF CASHTON - MONROE COUNTY","17","17","1","0"
"2024 General Election","42141","VILLAGE OF KENDALL - MONROE COUNTY","19","19","3","0"
"2024 General Election","42161","VILLAGE OF NORWALK - MONROE COUNTY","8","8","0","0"
"2024 General Election","42165","VILLAGE OF OAKDALE - MONROE COUNTY","9","9","2","0"
"2024 General Election","42185","VILLAGE OF WARRENS - MONROE COUNTY","8","8","0","0"
"2024 General Election","42191","VILLAGE OF WILTON - MONROE COUNTY","16","16","3","0"
"2024 General Election","42192","VILLAGE OF WYEVILLE - MONROE COUNTY","5","5","1","0"
"2024 General Election","42281","CITY OF SPARTA - MONROE COUNTY","642","641","183","0"
"2024 General Election","42286","CITY OF TOMAH - MONROE COUNTY","441","436","111","0"
"2024 General Election","43002","TOWN OF ABRAMS - OCONTO COUNTY","153","126","30","0"
"2024 General Election","43006","TOWN OF BAGLEY - OCONTO COUNTY","19","19","4","0"
"2024 General Election","43008","TOWN OF BRAZEAU - OCONTO COUNTY","83","83","23","0"
"2024 General Election","43010","TOWN OF BREED - OCONTO COUNTY","22","21","0","0"
"2024 General Election","43012","TOWN OF CHASE - OCONTO COUNTY","275","273","35","0"
"2024 General Election","43014","TOWN OF DOTY - OCONTO COUNTY","19","0","0",""
"2024 General Election","43016","TOWN OF GILLETT - OCONTO COUNTY","35","33","5","0"
"2024 General Election","43018","TOWN OF HOW - OCONTO COUNTY","17","17","2","0"
"2024 General Election","43019","TOWN OF LAKEWOOD - OCONTO COUNTY","73","73","19","0"
"2024 General Election","43020","TOWN OF LENA - OCONTO COUNTY","19","17","3","0"
"2024 General Election","43022","TOWN OF LITTLE RIVER - OCONTO COUNTY","48","47","10","0"
"2024 General Election","43024","TOWN OF LITTLE SUAMICO - OCONTO COUNTY","600","593","91","0"
"2024 General Election","43026","TOWN OF MAPLE VALLEY - OCONTO COUNTY","25","18","0","0"
"2024 General Election","43028","TOWN OF MORGAN - OCONTO COUNTY","65","65","16","0"
"2024 General Election","43029","TOWN OF MOUNTAIN - OCONTO COUNTY","88","88","27","0"
"2024 General Election","43030","TOWN OF OCONTO - OCONTO COUNTY","71","65","16","0"
"2024 General Election","43032","TOWN OF OCONTO FALLS - OCONTO COUNTY","73","73","21","0"
"2024 General Election","43034","TOWN OF PENSAUKEE - OCONTO COUNTY","83","73","7","0"
"2024 General Election","43036","TOWN OF RIVERVIEW - OCONTO COUNTY","62","62","17","0"
"2024 General Election","43038","TOWN OF SPRUCE - OCONTO COUNTY","41","41","0","0"
"2024 General Election","43040","TOWN OF STILES - OCONTO COUNTY","67","63","0","0"
"2024 General Election","43042","TOWN OF TOWNSEND - OCONTO COUNTY","61","60","1","0"
"2024 General Election","43044","TOWN OF UNDERHILL - OCONTO COUNTY","48","48","9","0"
"2024 General Election","43146","VILLAGE OF LENA - OCONTO COUNTY","8","8","0","0"
"2024 General Election","43181","VILLAGE OF SURING - OCONTO COUNTY","15","15","0","0"
"2024 General Election","43231","CITY OF GILLETT - OCONTO COUNTY","48","48","11","0"
"2024 General Election","43265","CITY OF OCONTO - OCONTO COUNTY","225","210","46","0"
"2024 General Election","43266","CITY OF OCONTO FALLS - OCONTO COUNTY","137","137","49","0"
"2024 General Election","44002","TOWN OF CASSIAN - ONEIDA COUNTY","93","3","0","0"
"2024 General Election","44004","TOWN OF CRESCENT - ONEIDA COUNTY","167","167","30","0"
"2024 General Election","44006","TOWN OF ENTERPRISE - ONEIDA COUNTY","19","11","0","0"
"2024 General Election","44008","TOWN OF HAZELHURST - ONEIDA COUNTY","105","105","23","0"
"2024 General Election","44010","TOWN OF LAKE TOMAHAWK - ONEIDA COUNTY","82","76","13","0"
"2024 General Election","44012","TOWN OF LITTLE RICE - ONEIDA COUNTY","24","22","1","0"
"2024 General Election","44014","TOWN OF LYNNE - ONEIDA COUNTY","11","8","0","0"
"2024 General Election","44016","TOWN OF MINOCQUA - ONEIDA COUNTY","644","643","147","0"
"2024 General Election","44018","TOWN OF MONICO - ONEIDA COUNTY","4","4","1","0"
"2024 General Election","44020","TOWN OF NEWBOLD - ONEIDA COUNTY","321","317","0","0"
"2024 General Election","44022","TOWN OF NOKOMIS - ONEIDA COUNTY","106","96","2","0"
"2024 General Election","44024","TOWN OF PELICAN - ONEIDA COUNTY","208","201","26","0"
"2024 General Election","44028","TOWN OF PINE LAKE - ONEIDA COUNTY","249","249","58","0"
"2024 General Election","44030","TOWN OF SCHOEPKE - ONEIDA COUNTY","32","32","0","0"
"2024 General Election","44032","TOWN OF STELLA - ONEIDA COUNTY","46","45","10","0"
"2024 General Election","44034","TOWN OF SUGAR CAMP - ONEIDA COUNTY","150","125","19","0"
"2024 General Election","44036","TOWN OF THREE LAKES - ONEIDA COUNTY","291","289","65","0"
"2024 General Election","44038","TOWN OF WOODBORO - ONEIDA COUNTY","54","49","3","0"
"2024 General Election","44040","TOWN OF WOODRUFF - ONEIDA COUNTY","225","224","38","0"
"2024 General Election","44276","CITY OF RHINELANDER - ONEIDA COUNTY","550","502","149","0"
"2024 General Election","45002","TOWN OF BLACK CREEK - OUTAGAMIE COUNTY","47","47","8","0"
"2024 General Election","45004","TOWN OF BOVINA - OUTAGAMIE COUNTY","57","53","20","0"
"2024 General Election","45006","TOWN OF BUCHANAN - OUTAGAMIE COUNTY","550","549","119","0"
"2024 General Election","45008","TOWN OF CENTER - OUTAGAMIE COUNTY","293","289","43","0"
"2024 General Election","45010","TOWN OF CICERO - OUTAGAMIE COUNTY","40","40","5","0"
"2024 General Election","45012","TOWN OF DALE - OUTAGAMIE COUNTY","157","156","0","0"
"2024 General Election","45014","TOWN OF DEER CREEK - OUTAGAMIE COUNTY","12","12","1","0"
"2024 General Election","45016","TOWN OF ELLINGTON - OUTAGAMIE COUNTY","208","202","0","0"
"2024 General Election","45018","TOWN OF FREEDOM - OUTAGAMIE COUNTY","539","537","33","0"
"2024 General Election","45020","TOWN OF GRAND CHUTE - OUTAGAMIE COUNTY","2549","2522","603","0"
"2024 General Election","45024","TOWN OF HORTONIA - OUTAGAMIE COUNTY","41","40","0","0"
"2024 General Election","45026","TOWN OF KAUKAUNA - OUTAGAMIE COUNTY","97","92","16","0"
"2024 General Election","45028","TOWN OF LIBERTY - OUTAGAMIE COUNTY","43","43","0","0"
"2024 General Election","45030","TOWN OF MAINE - OUTAGAMIE COUNTY","19","19","0","0"
"2024 General Election","45032","TOWN OF MAPLE CREEK - OUTAGAMIE COUNTY","12","12","0","0"
"2024 General Election","45034","TOWN OF ONEIDA - OUTAGAMIE COUNTY","253","251","35","0"
"2024 General Election","45036","TOWN OF OSBORN - OUTAGAMIE COUNTY","60","60","15","0"
"2024 General Election","45038","TOWN OF SEYMOUR - OUTAGAMIE COUNTY","65","65","9","0"
"2024 General Election","45040","TOWN OF VANDENBROEK - OUTAGAMIE COUNTY","105","105","18","0"
"2024 General Election","45106","VILLAGE OF BEAR CREEK - OUTAGAMIE COUNTY","1","1","0","0"
"2024 General Election","45107","VILLAGE OF BLACK CREEK - OUTAGAMIE COUNTY","55","55","4","0"
"2024 General Election","45111","VILLAGE OF COMBINED LOCKS - OUTAGAMIE COUNTY","350","350","101","0"
"2024 General Election","45122","VILLAGE OF GREENVILLE - OUTAGAMIE COUNTY","1044","1018","191","0"
"2024 General Election","45136","VILLAGE OF HORTONVILLE - OUTAGAMIE COUNTY","140","139","21","0"
"2024 General Election","45141","VILLAGE OF KIMBERLY - OUTAGAMIE COUNTY","627","619","130","0"
"2024 General Election","45146","VILLAGE OF LITTLE CHUTE - OUTAGAMIE COUNTY","882","880","180","0"
"2024 General Election","45155","VILLAGE OF NICHOLS - OUTAGAMIE COUNTY","7","7","1","0"
"2024 General Election","45181","VILLAGE OF SHIOCTON - OUTAGAMIE COUNTY","13","13","2","0"
"2024 General Election","45201","CITY OF APPLETON - MULTIPLE COUNTIES","6735","6323","1463","0"
