
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,3477,3334,1853
ASHLAND COUNTY,3198,3172,2027
BARRON COUNTY,7646,7519,4279
BAYFIELD COUNTY,4346,4254,2779
BROWN COUNTY,70579,69829,40256
BUFFALO COUNTY,1769,1699,817
BURNETT COUNTY,2913,2850,1492
CALUMET COUNTY,12484,12370,6545
CHIPPEWA COUNTY,11888,11711,6774
CLARK COUNTY,3323,3175,1584
COLUMBIA COUNTY,12126,12021,7220
CRAWFORD COUNTY,2686,2629,1440
DANE COUNTY,203496,202230,129655
DODGE COUNTY,14104,14016,7747
DOOR COUNTY,8615,8517,5436
DOUGLAS COUNTY,9264,9201,5918
DUNN COUNTY,7265,7198,3829
EAU CLAIRE COUNTY,21639,21414,12770
FLORENCE COUNTY,1003,952,589
FOND DU LAC COUNTY,19731,19097,10774
FOREST COUNTY,1571,1519,833
GRANT COUNTY,8368,8246,4529
GREEN COUNTY,7287,7204,4393
GREEN LAKE COUNTY,2981,2909,1645
IOWA COUNTY,5411,5370,3233
IRON COUNTY,1669,1652,971
JACKSON COUNTY,2341,2335,1224
JEFFERSON COUNTY,16963,16716,8815
JUNEAU COUNTY,3540,3408,1738
KENOSHA COUNTY,35611,35395,19544
KEWAUNEE COUNTY,3835,3801,2125
LA CROSSE COUNTY,29172,29004,17712
LAFAYETTE COUNTY,2398,2322,1300
LANGLADE COUNTY,3125,3061,1702
LINCOLN COUNTY,5272,5230,2930
MANITOWOC COUNTY,14956,14901,8949
MARATHON COUNTY,28300,28088,16303
MARINETTE COUNTY,7475,7403,4221
MARQUETTE COUNTY,2598,2472,1503
MENOMINEE COUNTY,443,422,258
MILWAUKEE COUNTY,237639,236572,126777
MONROE COUNTY,6138,6063,3267
OCONTO COUNTY,7658,7510,4168
ONEIDA COUNTY,10111,9982,6060
OUTAGAMIE COUNTY,47429,47238,26453
OZAUKEE COUNTY,26579,26478,15314
PEPIN COUNTY,1187,1123,530
PIERCE COUNTY,7771,7714,4174
POLK COUNTY,7277,7121,3729
PORTAGE COUNTY,16050,15961,9777
PRICE COUNTY,2640,2492,1360
RACINE COUNTY,41603,41314,21317
RICHLAND COUNTY,2908,2642,1429
ROCK COUNTY,35285,35082,20916
RUSK COUNTY,1984,1934,1034
ST. CROIX COUNTY,21546,21437,11817
SAUK COUNTY,14209,13952,8444
SAWYER COUNTY,3788,3691,2192
SHAWANO COUNTY,6431,6321,3775
SHEBOYGAN COUNTY,23383,23201,13640
TAYLOR COUNTY,2693,2567,1409
TREMPEALEAU COUNTY,3564,3343,1849
VERNON COUNTY,4838,4452,1642
VILAS COUNTY,6138,6005,3674
WALWORTH COUNTY,20268,20159,10970
WASHBURN COUNTY,3258,3122,1705
WASHINGTON COUNTY,32063,31721,17204
WAUKESHA COUNTY,117338,116548,63994
WAUPACA COUNTY,8846,8805,5067
WAUSHARA COUNTY,3882,3839,2091
WINNEBAGO COUNTY,40987,40855,23726
WOOD COUNTY,13825,13667,8320
TOTAL,1384184,1371557,785536
