"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2020 General Election","01002","TOWN OF ADAMS - ADAMS COUNTY","210","210","152","0"
"2020 General Election","01004","TOWN OF BIG FLATS - ADAMS COUNTY","122","122","65","0"
"2020 General Election","01006","TOWN OF COLBURN - ADAMS COUNTY","51","49","37","0"
"2020 General Election","01008","TOWN OF DELL PRAIRIE - ADAMS COUNTY","334","327","236","32"
"2020 General Election","01010","TOWN OF EASTON - ADAMS COUNTY","128","128","85","6"
"2020 General Election","01012","TOWN OF JACKSON - ADAMS COUNTY","243","230","148","0"
"2020 General Election","01014","TOWN OF LEOLA - ADAMS COUNTY","23","19","9","3"
"2020 General Election","01016","TOWN OF LINCOLN - ADAMS COUNTY","56","56","29","0"
"2020 General Election","01018","TOWN OF MONROE - ADAMS COUNTY","105","104","80","3"
"2020 General Election","01020","TOWN OF NEW CHESTER - ADAMS COUNTY","143","143","81","0"
"2020 General Election","01022","TOWN OF NEW HAVEN - ADAMS COUNTY","114","114","80","0"
"2020 General Election","01024","TOWN OF PRESTON - ADAMS COUNTY","217","205","103","0"
"2020 General Election","01026","TOWN OF QUINCY - ADAMS COUNTY","263","262","193","30"
"2020 General Election","01028","TOWN OF RICHFIELD - ADAMS COUNTY","15","15","0","0"
"2020 General Election","01030","TOWN OF ROME - ADAMS COUNTY","1228","1225","1019","262"
"2020 General Election","01032","TOWN OF SPRINGVILLE - ADAMS COUNTY","250","248","167","0"
"2020 General Election","01034","TOWN OF STRONGS PRAIRIE - ADAMS COUNTY","219","178","127","33"
"2020 General Election","01126","VILLAGE OF FRIENDSHIP - ADAMS COUNTY","101","101","63","18"
"2020 General Election","01201","CITY OF ADAMS - ADAMS COUNTY","232","231","170","40"
"2020 General Election","02002","TOWN OF AGENDA - ASHLAND COUNTY","64","61","51","0"
"2020 General Election","02004","TOWN OF ASHLAND - ASHLAND COUNTY","94","93","67","0"
"2020 General Election","02006","TOWN OF CHIPPEWA - ASHLAND COUNTY","55","55","46","3"
"2020 General Election","02008","TOWN OF GINGLES - ASHLAND COUNTY","175","175","140","0"
"2020 General Election","02010","TOWN OF GORDON - ASHLAND COUNTY","43","42","29","0"
"2020 General Election","02012","TOWN OF JACOBS - ASHLAND COUNTY","91","90","59","0"
"2020 General Election","02014","TOWN OF LA POINTE - ASHLAND COUNTY","139","139","117","29"
"2020 General Election","02016","TOWN OF MARENGO - ASHLAND COUNTY","64","63","47","0"
"2020 General Election","02018","TOWN OF MORSE - ASHLAND COUNTY","131","129","107","0"
"2020 General Election","02020","TOWN OF PEEKSVILLE - ASHLAND COUNTY","30","28","18","0"
"2020 General Election","02022","TOWN OF SANBORN - ASHLAND COUNTY","105","104","66","0"
"2020 General Election","02024","TOWN OF SHANAGOLDEN - ASHLAND COUNTY","21","20","18","0"
"2020 General Election","02026","TOWN OF WHITE RIVER - ASHLAND COUNTY","115","113","71","5"
"2020 General Election","02106","VILLAGE OF BUTTERNUT - ASHLAND COUNTY","55","55","43","6"
"2020 General Election","02201","CITY OF ASHLAND - MULTIPLE COUNTIES","2157","2153","1684","115"
"2020 General Election","02251","CITY OF MELLEN - ASHLAND COUNTY","110","108","88","0"
"2020 General Election","03002","TOWN OF ALMENA - BARRON COUNTY","168","163","117","28"
"2020 General Election","03004","TOWN OF ARLAND - BARRON COUNTY","97","97","56","0"
"2020 General Election","03006","TOWN OF BARRON - BARRON COUNTY","108","107","52","3"
"2020 General Election","03008","TOWN OF BEAR LAKE - BARRON COUNTY","141","141","89","6"
"2020 General Election","03010","TOWN OF CEDAR LAKE - BARRON COUNTY","316","307","230","10"
"2020 General Election","03012","TOWN OF CHETEK - BARRON COUNTY","447","444","340","69"
"2020 General Election","03014","TOWN OF CLINTON - BARRON COUNTY","96","89","70","0"
"2020 General Election","03016","TOWN OF CRYSTAL LAKE - BARRON COUNTY","98","98","56","8"
"2020 General Election","03018","TOWN OF CUMBERLAND - BARRON COUNTY","131","131","94","9"
"2020 General Election","03020","TOWN OF DALLAS - BARRON COUNTY","83","82","52","3"
"2020 General Election","03022","TOWN OF DOVRE - BARRON COUNTY","103","103","68","0"
"2020 General Election","03024","TOWN OF DOYLE - BARRON COUNTY","87","87","41","2"
"2020 General Election","03026","TOWN OF LAKELAND - BARRON COUNTY","184","184","113","6"
"2020 General Election","03028","TOWN OF MAPLE GROVE - BARRON COUNTY","136","127","79","0"
"2020 General Election","03030","TOWN OF MAPLE PLAIN - BARRON COUNTY","160","160","104","14"
"2020 General Election","03032","TOWN OF OAK GROVE - BARRON COUNTY","166","164","105","2"
"2020 General Election","03034","TOWN OF PRAIRIE FARM - BARRON COUNTY","19","19","0","0"
"2020 General Election","03036","TOWN OF PRAIRIE LAKE - BARRON COUNTY","345","341","258","47"
"2020 General Election","03038","TOWN OF RICE LAKE - BARRON COUNTY","863","862","683","178"
"2020 General Election","03040","TOWN OF SIOUX CREEK - BARRON COUNTY","129","129","88","11"
"2020 General Election","03042","TOWN OF STANFOLD - BARRON COUNTY","129","129","86","27"
"2020 General Election","03044","TOWN OF STANLEY - BARRON COUNTY","531","529","393","58"
"2020 General Election","03046","TOWN OF SUMNER - BARRON COUNTY","98","98","80","8"
"2020 General Election","03048","TOWN OF TURTLE LAKE - BARRON COUNTY","72","67","42","6"
"2020 General Election","03050","TOWN OF VANCE CREEK - BARRON COUNTY","64","59","42","2"
"2020 General Election","03101","VILLAGE OF ALMENA - BARRON COUNTY","65","65","41","7"
"2020 General Election","03111","VILLAGE OF CAMERON - BARRON COUNTY","262","262","185","50"
"2020 General Election","03116","VILLAGE OF DALLAS - BARRON COUNTY","38","38","25","2"
"2020 General Election","03136","VILLAGE OF HAUGEN - BARRON COUNTY","25","25","18","2"
"2020 General Election","03171","VILLAGE OF PRAIRIE FARM - BARRON COUNTY","24","24","14","0"
"2020 General Election","03186","VILLAGE OF TURTLE LAKE - MULTIPLE COUNTIES","109","109","78","16"
"2020 General Election","03206","CITY OF BARRON - BARRON COUNTY","647","646","484","77"
"2020 General Election","03211","CITY OF CHETEK - BARRON COUNTY","443","443","353","88"
"2020 General Election","03212","CITY OF CUMBERLAND - BARRON COUNTY","482","479","361","63"
"2020 General Election","03276","CITY OF RICE LAKE - BARRON COUNTY","2159","2155","1666","361"
"2020 General Election","04002","TOWN OF BARKSDALE - BAYFIELD COUNTY","225","223","182","19"
"2020 General Election","04004","TOWN OF BARNES - BAYFIELD COUNTY","276","272","227","40"
"2020 General Election","04006","TOWN OF BAYFIELD - BAYFIELD COUNTY","300","299","237","16"
"2020 General Election","04008","TOWN OF BAYVIEW - BAYFIELD COUNTY","156","156","128","0"
"2020 General Election","04010","TOWN OF BELL - BAYFIELD COUNTY","147","147","125","9"
"2020 General Election","04012","TOWN OF CABLE - BAYFIELD COUNTY","281","274","221","30"
"2020 General Election","04014","TOWN OF CLOVER - BAYFIELD COUNTY","99","97","76","4"
"2020 General Election","04016","TOWN OF DELTA - BAYFIELD COUNTY","122","122","103","1"
"2020 General Election","04018","TOWN OF DRUMMOND - BAYFIELD COUNTY","146","143","106","6"
"2020 General Election","04020","TOWN OF EILEEN - BAYFIELD COUNTY","156","154","105","0"
"2020 General Election","04021","TOWN OF GRAND VIEW - BAYFIELD COUNTY","112","112","82","3"
"2020 General Election","04022","TOWN OF HUGHES - BAYFIELD COUNTY","126","126","88","3"
"2020 General Election","04024","TOWN OF IRON RIVER - BAYFIELD COUNTY","338","332","237","18"
"2020 General Election","04026","TOWN OF KELLY - BAYFIELD COUNTY","87","87","47","0"
"2020 General Election","04028","TOWN OF KEYSTONE - BAYFIELD COUNTY","54","42","42","1"
"2020 General Election","04030","TOWN OF LINCOLN - BAYFIELD COUNTY","78","74","19","0"
"2020 General Election","04032","TOWN OF MASON - BAYFIELD COUNTY","52","47","40","0"
"2020 General Election","04034","TOWN OF NAMAKAGON - BAYFIELD COUNTY","110","110","103","26"
"2020 General Election","04036","TOWN OF ORIENTA - BAYFIELD COUNTY","26","26","19","2"
"2020 General Election","04038","TOWN OF OULU - BAYFIELD COUNTY","129","129","107","0"
"2020 General Election","04040","TOWN OF PILSEN - BAYFIELD COUNTY","36","35","29","0"
"2020 General Election","04042","TOWN OF PORT WING - BAYFIELD COUNTY","171","169","111","0"
"2020 General Election","04046","TOWN OF RUSSELL - BAYFIELD COUNTY","200","197","126","0"
"2020 General Election","04048","TOWN OF TRIPP - BAYFIELD COUNTY","80","64","35","0"
"2020 General Election","04050","TOWN OF WASHBURN - BAYFIELD COUNTY","210","208","162","4"
"2020 General Election","04151","VILLAGE OF MASON - BAYFIELD COUNTY","14","0","0",""
"2020 General Election","04206","CITY OF BAYFIELD - BAYFIELD COUNTY","232","231","204","46"
"2020 General Election","04291","CITY OF WASHBURN - BAYFIELD COUNTY","798","798","667","90"
"2020 General Election","05010","TOWN OF EATON - BROWN COUNTY","241","232","121","0"
"2020 General Election","05012","TOWN OF GLENMORE - BROWN COUNTY","196","196","146","5"
"2020 General Election","05014","TOWN OF GREEN BAY - BROWN COUNTY","510","478","280","0"
"2020 General Election","05018","TOWN OF HOLLAND - BROWN COUNTY","460","337","203","5"
"2020 General Election","05022","TOWN OF HUMBOLDT - BROWN COUNTY","226","226","146","2"
"2020 General Election","05024","TOWN OF LAWRENCE - BROWN COUNTY","2402","2402","1831","471"
"2020 General Election","05025","TOWN OF LEDGEVIEW - BROWN COUNTY","3458","3457","2698","656"
"2020 General Election","05026","TOWN OF MORRISON - BROWN COUNTY","227","223","98","0"
"2020 General Election","05028","TOWN OF NEW DENMARK - BROWN COUNTY","301","301","208","1"
"2020 General Election","05030","TOWN OF PITTSFIELD - BROWN COUNTY","957","941","721","0"
"2020 General Election","05034","TOWN OF ROCKLAND - BROWN COUNTY","570","569","425","127"
"2020 General Election","05036","TOWN OF SCOTT - BROWN COUNTY","1299","1291","1040","324"
"2020 General Election","05040","TOWN OF WRIGHTSTOWN - BROWN COUNTY","504","501","377","38"
