"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2024 General Election","01002","TOWN OF ADAMS - ADAMS COUNTY","83","83","32","0"
"2024 General Election","01004","TOWN OF BIG FLATS - ADAMS COUNTY","48","47","14","0"
"2024 General Election","01006","TOWN OF COLBURN - ADAMS COUNTY","19","17","7","0"
"2024 General Election","01008","TOWN OF DELL PRAIRIE - ADAMS COUNTY","101","100","31","0"
"2024 General Election","01010","TOWN OF EASTON - ADAMS COUNTY","76","70","28","0"
"2024 General Election","01012","TOWN OF JACKSON - ADAMS COUNTY","97","96","26","0"
"2024 General Election","01014","TOWN OF LEOLA - ADAMS COUNTY","12","11","4","0"
"2024 General Election","01016","TOWN OF LINCOLN - ADAMS COUNTY","24","24","10","0"
"2024 General Election","01018","TOWN OF MONROE - ADAMS COUNTY","34","34","14","0"
"2024 General Election","01020","TOWN OF NEW CHESTER - ADAMS COUNTY","76","76","32","0"
"2024 General Election","01022","TOWN OF NEW HAVEN - ADAMS COUNTY","41","39","15","0"
"2024 General Election","01024","TOWN OF PRESTON - ADAMS COUNTY","102","101","36","0"
"2024 General Election","01026","TOWN OF QUINCY - ADAMS COUNTY","96","96","39","0"
"2024 General Election","01028","TOWN OF RICHFIELD - ADAMS COUNTY","4","4","1","0"
"2024 General Election","01030","TOWN OF ROME - ADAMS COUNTY","338","338","117","0"
"2024 General Election","01032","TOWN OF SPRINGVILLE - ADAMS COUNTY","95","95","27","0"
"2024 General Election","01034","TOWN OF STRONGS PRAIRIE - ADAMS COUNTY","75","75","31","0"
"2024 General Election","01126","VILLAGE OF FRIENDSHIP - ADAMS COUNTY","25","25","9","0"
"2024 General Election","01201","CITY OF ADAMS - ADAMS COUNTY","73","73","25","0"
"2024 General Election","02002","TOWN OF AGENDA - ASHLAND COUNTY","23","23","5","0"
"2024 General Election","02004","TOWN OF ASHLAND - ASHLAND COUNTY","37","0","0",""
"2024 General Election","02006","TOWN OF CHIPPEWA - ASHLAND COUNTY","27","24","0","0"
"2024 General Election","02008","TOWN OF GINGLES - ASHLAND COUNTY","55","54","0","0"
"2024 General Election","02010","TOWN OF GORDON - ASHLAND COUNTY","28","27","11","0"
"2024 General Election","02012","TOWN OF JACOBS - ASHLAND COUNTY","18","17","4","0"
"2024 General Election","02014","TOWN OF LA POINTE - ASHLAND COUNTY","43","43","15","0"
"2024 General Election","02016","TOWN OF MARENGO - ASHLAND COUNTY","22","22","6","0"
"2024 General Election","02018","TOWN OF MORSE - ASHLAND COUNTY","47","44","9","0"
"2024 General Election","02020","TOWN OF PEEKSVILLE - ASHLAND COUNTY","4","3","3","0"
"2024 General Election","02022","TOWN OF SANBORN - ASHLAND COUNTY","23","20","0","0"
"2024 General Election","02024","TOWN OF SHANAGOLDEN - ASHLAND COUNTY","7","6","0","0"
"2024 General Election","02026","TOWN OF WHITE RIVER - ASHLAND COUNTY","47","47","8","0"
"2024 General Election","02106","VILLAGE OF BUTTERNUT - ASHLAND COUNTY","10","9","0","0"
"2024 General Election","02201","CITY OF ASHLAND - MULTIPLE COUNTIES","591","589","222","0"
"2024 General Election","02251","CITY OF MELLEN - ASHLAND COUNTY","30","30","12","0"
"2024 General Election","03002","TOWN OF ALMENA - BARRON COUNTY","68","63","7","0"
"2024 General Election","03004","TOWN OF ARLAND - BARRON COUNTY","25","0","0",""
"2024 General Election","03006","TOWN OF BARRON - BARRON COUNTY","22","21","9","0"
"2024 General Election","03008","TOWN OF BEAR LAKE - BARRON COUNTY","51","51","13","0"
"2024 General Election","03010","TOWN OF CEDAR LAKE - BARRON COUNTY","127","127","34","0"
"2024 General Election","03012","TOWN OF CHETEK - BARRON COUNTY","163","161","76","0"
"2024 General Election","03014","TOWN OF CLINTON - BARRON COUNTY","35","35","4","0"
"2024 General Election","03016","TOWN OF CRYSTAL LAKE - BARRON COUNTY","29","29","9","0"
"2024 General Election","03018","TOWN OF CUMBERLAND - BARRON COUNTY","33","33","14","0"
"2024 General Election","03020","TOWN OF DALLAS - BARRON COUNTY","22","17","3","0"
"2024 General Election","03022","TOWN OF DOVRE - BARRON COUNTY","43","43","12","0"
"2024 General Election","03024","TOWN OF DOYLE - BARRON COUNTY","25","25","4","0"
"2024 General Election","03026","TOWN OF LAKELAND - BARRON COUNTY","64","64","26","0"
"2024 General Election","03028","TOWN OF MAPLE GROVE - BARRON COUNTY","45","45","14","0"
"2024 General Election","03030","TOWN OF MAPLE PLAIN - BARRON COUNTY","66","66","21","0"
"2024 General Election","03032","TOWN OF OAK GROVE - BARRON COUNTY","46","46","16","0"
"2024 General Election","03034","TOWN OF PRAIRIE FARM - BARRON COUNTY","13","13","3","0"
"2024 General Election","03036","TOWN OF PRAIRIE LAKE - BARRON COUNTY","110","106","36","0"
"2024 General Election","03038","TOWN OF RICE LAKE - BARRON COUNTY","183","181","53","0"
"2024 General Election","03040","TOWN OF SIOUX CREEK - BARRON COUNTY","28","25","7","0"
"2024 General Election","03042","TOWN OF STANFOLD - BARRON COUNTY","23","23","6","0"
"2024 General Election","03044","TOWN OF STANLEY - BARRON COUNTY","171","170","82","0"
"2024 General Election","03046","TOWN OF SUMNER - BARRON COUNTY","23","23","7","0"
"2024 General Election","03048","TOWN OF TURTLE LAKE - BARRON COUNTY","19","19","5","0"
"2024 General Election","03050","TOWN OF VANCE CREEK - BARRON COUNTY","8","8","0","0"
"2024 General Election","03101","VILLAGE OF ALMENA - BARRON COUNTY","14","14","10","0"
"2024 General Election","03111","VILLAGE OF CAMERON - BARRON COUNTY","67","67","23","0"
"2024 General Election","03116","VILLAGE OF DALLAS - BARRON COUNTY","6","6","0","0"
"2024 General Election","03136","VILLAGE OF HAUGEN - BARRON COUNTY","10","10","6","0"
"2024 General Election","03171","VILLAGE OF PRAIRIE FARM - BARRON COUNTY","8","8","1","0"
"2024 General Election","03186","VILLAGE OF TURTLE LAKE - MULTIPLE COUNTIES","30","30","15","0"
"2024 General Election","03206","CITY OF BARRON - BARRON COUNTY","197","196","81","0"
"2024 General Election","03211","CITY OF CHETEK - BARRON COUNTY","117","115","40","0"
"2024 General Election","03212","CITY OF CUMBERLAND - BARRON COUNTY","163","161","89","0"
"2024 General Election","03276","CITY OF RICE LAKE - BARRON COUNTY","648","645","210","0"
"2024 General Election","04002","TOWN OF BARKSDALE - BAYFIELD COUNTY","62","58","3","0"
"2024 General Election","04004","TOWN OF BARNES - BAYFIELD COUNTY","116","116","36","0"
"2024 General Election","04006","TOWN OF BAYFIELD - BAYFIELD COUNTY","102","100","26","0"
"2024 General Election","04008","TOWN OF BAYVIEW - BAYFIELD COUNTY","57","57","26","0"
"2024 General Election","04010","TOWN OF BELL - BAYFIELD COUNTY","52","52","26","0"
"2024 General Election","04012","TOWN OF CABLE - BAYFIELD COUNTY","83","80","25","0"
"2024 General Election","04014","TOWN OF CLOVER - BAYFIELD COUNTY","30","30","14","0"
"2024 General Election","04016","TOWN OF DELTA - BAYFIELD COUNTY","39","39","15","0"
"2024 General Election","04018","TOWN OF DRUMMOND - BAYFIELD COUNTY","57","56","22","0"
"2024 General Election","04020","TOWN OF EILEEN - BAYFIELD COUNTY","39","39","18","0"
"2024 General Election","04021","TOWN OF GRAND VIEW - BAYFIELD COUNTY","53","53","15","0"
"2024 General Election","04022","TOWN OF HUGHES - BAYFIELD COUNTY","47","42","0","0"
"2024 General Election","04024","TOWN OF IRON RIVER - BAYFIELD COUNTY","117","112","34","0"
"2024 General Election","04026","TOWN OF KELLY - BAYFIELD COUNTY","25","25","10","0"
"2024 General Election","04028","TOWN OF KEYSTONE - BAYFIELD COUNTY","17","0","0",""
"2024 General Election","04030","TOWN OF LINCOLN - BAYFIELD COUNTY","29","28","10","0"
"2024 General Election","04032","TOWN OF MASON - BAYFIELD COUNTY","13","11","5","0"
"2024 General Election","04034","TOWN OF NAMAKAGON - BAYFIELD COUNTY","48","45","7","0"
"2024 General Election","04036","TOWN OF ORIENTA - BAYFIELD COUNTY","9","9","6","0"
"2024 General Election","04038","TOWN OF OULU - BAYFIELD COUNTY","49","46","20","0"
"2024 General Election","04040","TOWN OF PILSEN - BAYFIELD COUNTY","10","10","1","0"
"2024 General Election","04042","TOWN OF PORT WING - BAYFIELD COUNTY","38","38","16","0"
"2024 General Election","04046","TOWN OF RUSSELL - BAYFIELD COUNTY","65","64","20","0"
