
County Name,Absentee Applications,Ballots Reported Sent,Ballots Reported Returned
ADAMS COUNTY,2572,2057,57
ASHLAND COUNTY,2619,2486,195
BARRON COUNTY,6123,5772,115
BAYFIELD COUNTY,3565,3137,59
BROWN COUNTY,54898,53419,2704
BUFFALO COUNTY,1163,1041,12
BURNETT COUNTY,2294,1854,20
CALUMET COUNTY,9577,8559,226
CHIPPEWA COUNTY,9559,9111,197
CLARK COUNTY,2154,1733,59
COLUMBIA COUNTY,9514,9184,294
CRAWFORD COUNTY,2020,1891,46
DANE COUNTY,169054,166650,8049
DODGE COUNTY,10813,10666,304
DOOR COUNTY,6935,6498,211
DOUGLAS COUNTY,7672,7577,1242
DUNN COUNTY,5737,5602,224
EAU CLAIRE COUNTY,16860,16515,872
FLORENCE COUNTY,858,726,37
FOND DU LAC COUNTY,14353,11520,363
FOREST COUNTY,1303,1142,7
GRANT COUNTY,5565,4890,210
GREEN COUNTY,5697,5569,357
GREEN LAKE COUNTY,2352,2204,148
IOWA COUNTY,4347,4257,71
IRON COUNTY,1138,1052,23
JACKSON COUNTY,1786,1656,17
JEFFERSON COUNTY,13459,11066,10
JUNEAU COUNTY,2274,1918,22
KENOSHA COUNTY,28030,27845,503
KEWAUNEE COUNTY,3059,3033,67
LA CROSSE COUNTY,23055,22938,1175
LAFAYETTE COUNTY,1909,1691,77
LANGLADE COUNTY,1440,861,45
LINCOLN COUNTY,4178,3080,15
MANITOWOC COUNTY,11617,11505,879
MARATHON COUNTY,23172,22162,953
MARINETTE COUNTY,5874,5740,334
MARQUETTE COUNTY,2022,1250,0
MENOMINEE COUNTY,360,345,10
MILWAUKEE COUNTY,193155,181109,2145
MONROE COUNTY,4837,4736,197
OCONTO COUNTY,5805,4799,208
ONEIDA COUNTY,7029,6109,137
OUTAGAMIE COUNTY,36549,35772,1100
OZAUKEE COUNTY,21522,21360,1036
PEPIN COUNTY,950,771,11
PIERCE COUNTY,6138,6058,233
POLK COUNTY,5485,4581,100
PORTAGE COUNTY,12940,12780,545
PRICE COUNTY,1966,844,10
RACINE COUNTY,32345,31767,356
RICHLAND COUNTY,2219,1068,41
ROCK COUNTY,27517,26922,1239
RUSK COUNTY,1662,1216,1
ST. CROIX COUNTY,16860,16696,647
SAUK COUNTY,11529,11060,611
SAWYER COUNTY,3114,2698,133
SHAWANO COUNTY,4922,4239,189
SHEBOYGAN COUNTY,18385,18090,724
TAYLOR COUNTY,2035,1516,84
TREMPEALEAU COUNTY,2387,1883,72
VERNON COUNTY,3694,1895,35
VILAS COUNTY,5151,4819,163
WALWORTH COUNTY,15941,15352,461
WASHBURN COUNTY,2718,2476,142
WASHINGTON COUNTY,25433,24824,621
WAUKESHA COUNTY,93009,91731,3745
WAUPACA COUNTY,7077,6872,231
WAUSHARA COUNTY,3148,2854,35
WINNEBAGO COUNTY,31770,31039,2154
WOOD COUNTY,11165,10749,429
TOTAL,1099434,1048887,38044
